iter	Passed	Remaining
0	3	3918
1	15	7923
2	20	6795
3	22	5624
4	24	4810
5	25	4287
6	27	3869
7	35	4455
8	41	4599
9	43	4316
10	54	4940
11	58	4831
12	59	4552
13	61	4359
14	69	4542
15	70	4365
16	73	4254
17	75	4102
18	80	4179
19	83	4085
20	86	4043
21	88	3912
22	89	3794
23	91	3721
24	93	3640
25	96	3610
26	98	3531
27	99	3454
28	105	3536
29	107	3467
30	108	3386
31	109	3312
32	110	3246
33	113	3237
34	116	3216
35	118	3160
36	120	3128
37	131	3326
38	134	3302
39	135	3262
40	138	3246
41	141	3232
42	143	3196
43	145	3167
44	147	3132
45	148	3087
46	150	3058
47	153	3035
48	155	3020
49	157	3001
50	159	2964
51	161	2951
52	164	2934
53	165	2902
54	167	2876
55	178	3001
56	182	3020
57	185	3010
58	202	3229
59	204	3211
60	205	3169
61	208	3149
62	210	3134
63	214	3131
64	216	3118
65	219	3110
66	222	3103
67	225	3087
68	232	3136
69	235	3122
70	238	3124
71	242	3123
72	246	3128
73	248	3110
74	250	3090
75	255	3111
76	260	3125
77	263	3119
78	267	3117
79	271	3124
80	278	3160
81	282	3157
82	285	3152
83	287	3137
84	290	3127
85	292	3112
86	294	3090
87	297	3079
88	297	3049
89	302	3054
90	310	3098
91	312	3085
92	314	3066
93	319	3083
94	321	3060
95	324	3055
96	327	3053
97	332	3060
98	334	3041
99	341	3077
100	346	3085
101	351	3091
102	353	3077
103	359	3096
104	364	3109
105	373	3153
106	375	3137
107	389	3218
108	400	3272
109	417	3380
110	425	3406
111	427	3385
112	434	3407
113	436	3392
114	442	3404
115	450	3430
116	452	3413
117	454	3399
118	457	3386
119	461	3381
120	464	3371
121	466	3359
122	468	3342
123	470	3323
124	472	3305
125	473	3282
126	475	3271
127	478	3262
128	481	3248
129	486	3253
130	489	3246
131	490	3227
132	492	3210
133	499	3227
134	501	3211
135	503	3201
136	505	3187
137	507	3167
138	508	3147
139	509	3130
140	511	3116
141	513	3099
142	514	3083
143	515	3066
144	517	3051
145	521	3051
146	524	3042
147	527	3036
148	530	3028
149	532	3018
150	534	3005
151	537	2997
152	539	2986
153	540	2970
154	542	2960
155	548	2966
156	550	2957
157	554	2955
158	556	2941
159	559	2938
160	566	2950
